angles,ranges
120.41527,101
120.45041,101
120.47562,101.1
120.59145,101.1
120.92207,101
121.07832,101
121.25374,101.1
121.58742,101
121.74138,101
121.91603,101.1
122.05,102.6
122.25277,102.6
122.40444,102.6
122.57832,102.6
122.61,101
122.73979,102.6
122.91811,102.6
123.06749,104.1
123.24062,102.6
123.26618,102.6
123.42958,102.6
123.58346,104.1
123.73055,104.1
123.90291,104.2
123.92236,102.6
124.01999,102.6
124.11937,102.6
124.24881,104.1
124.3936,104.1
124.5652,104.2
124.57853,104.1
124.69679,104.1
124.80916,104.1
125.23471,104.1
125.3736,104.1
125.49895,104.1
125.89089,104.1
126.05041,105.7
126.18875,105.7
126.30999,105.7
126.54707,105.7
126.72721,105.7
126.87854,105.7
126.98832,105.7
127.20325,107.2
127.40402,107.2
127.56833,107.2
127.66666,105.7
127.85943,107.2
128.08082,107.2
128.25812,107.2
128.28998,107.2
128.34499,107.3
128.38999,107.3
128.51562,107.2
128.75763,107.2
128.94791,108.8
128.95762,107.2
129.02332,107.3
129.05534,107.3
129.1718,108.8
129.43443,108.8
129.62526,108.8
129.63771,110.3
129.70165,108.8
129.72069,108.8
129.82798,110.3
130.11124,110.3
130.2929,108.8
130.29999,108.8
130.37999,110.4
130.38604,110.4
130.78805,110.3
130.96054,110.3
130.96305,110.4
131.05138,110.4
131.05832,110.4
131.46485,111.9
131.6261,110.4
131.62818,110.3
131.71673,110.4
131.73666,111.9
132.28916,110.4
132.29582,111.9
132.38208,111.9
132.41499,113.5
132.95222,111.9
132.96346,113.4
133.04742,113.5
133.09332,113.5
133.61527,113.5
133.6311,113.4
133.71277,115
133.77165,115
134.14998,113.4
134.27833,115
134.29874,115
134.37812,115
134.58999,113.5
134.66999,115
134.80616,115
134.94138,115
134.96637,116.6
135.04347,116.6
135.24311,115
135.32312,115
135.46235,115
135.60444,116.6
135.63401,118.1
135.70881,118.1
135.89624,115
135.97624,116.6
136.11853,116.6
136.26749,118.1
136.54937,118.1
136.62937,116.6
136.77471,118.1
136.93055,119.7
137.20249,118.1
137.28249,118.1
137.43089,119.7
137.44999,119.6
137.5936,121.2
137.85561,119.7
137.93561,119.7
138.08707,121.2
138.11534,119.6
138.50874,121.2
138.58874,121.2
138.74325,122.8
138.78069,121.2
139.16186,122.8
139.24187,122.8
139.39943,124.3
139.44603,122.7
139.81499,124.4
139.89499,124.3
140.05561,124.3
140.07,122.8
140.11138,124.3
140.44999,122.8
140.46812,125.9
140.54812,125.9
140.71179,127.4
140.73687,124.3
140.77673,124.3
141.12124,127.5
141.1245,124.4
141.20124,127.5
141.36797,127.4
141.40375,124.3
141.44208,127.4
141.77436,129
141.79902,125.9
141.85436,129
142.07063,127.5
142.10742,129
142.16999,125.9
142.47353,129.1
142.7375,129
142.74999,129
142.77277,132.1
142.83763,129
143.14805,129.1
143.40438,130.6
143.4184,130.6
143.43812,132.1
143.50527,130.6
143.61999,130.6
143.82256,132.2
144.07125,133.7
144.0868,132.1
144.10346,135.2
144.17291,132.1
144.28992,132.2
